feature_family,team_prior,global_prior,C,features,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,march_log_loss,march_brier_score,march_roc_auc,march_accuracy_0_5,march_mean_probability,march_actual_home_win_rate
team_specific_venue_deviation,40.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.626009030203884,0.217125571216154,0.7112615787354009,0.6641604010025063,0.5401058915723093,0.5213032581453634,,,,,,
global_and_team_specific,80.0,200.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6260228573728931,0.21733855072424968,0.7116391461941199,0.6591478696741855,0.534341096108902,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6260255126481307,0.21654337345111976,0.7125201369311318,0.6616541353383458,0.5222385892330715,0.5213032581453634,,,,,,
global_home_trend,5.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6260322081064189,0.2169086188792643,0.7118153443415224,0.6541353383458647,0.5358471523968653,0.5213032581453634,,,,,,
global_home_trend,10.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6260322081064189,0.2169086188792643,0.7118153443415224,0.6541353383458647,0.5358471523968653,0.5213032581453634,,,,,,
global_home_trend,20.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6260322081064189,0.2169086188792643,0.7118153443415224,0.6541353383458647,0.5358471523968653,0.5213032581453634,,,,,,
global_home_trend,40.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6260322081064189,0.2169086188792643,0.7118153443415224,0.6541353383458647,0.5358471523968653,0.5213032581453634,,,,,,
global_home_trend,80.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6260322081064189,0.2169086188792643,0.7118153443415224,0.6541353383458647,0.5358471523968653,0.5213032581453634,,,,,,
team_specific_venue_deviation,10.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6260508496611401,0.21701285203640863,0.711513290374547,0.6591478696741855,0.5418093075805629,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6260685177232654,0.21692850210695555,0.7114629480467178,0.6641604010025063,0.5387850235966282,0.5213032581453634,,,,,,
