game_id,game_date,away,home,official_home_win_probability,model_uncertainty_2_5_percent,model_uncertainty_5_percent,bootstrap_median,model_uncertainty_95_percent,model_uncertainty_97_5_percent,interval_width_90_percent,bootstrap_replicates
0022501162,2026-04-08,MEM,DEN,0.882013,0.847973,0.852027,0.881600,0.906725,0.911776,0.054698,250
0022501163,2026-04-08,OKC,LAC,0.247221,0.202304,0.210293,0.247918,0.286202,0.294523,0.075909,250
0022501164,2026-04-08,DAL,PHX,0.850227,0.815983,0.819823,0.849880,0.876636,0.882788,0.056813,250
0022501165,2026-04-09,MIA,TOR,0.598003,0.571497,0.574089,0.597895,0.619739,0.626938,0.045650,250
0022501166,2026-04-09,CHI,WAS,0.316780,0.275159,0.284703,0.315761,0.349524,0.355357,0.064822,250
0022501167,2026-04-09,IND,BKN,0.490169,0.462880,0.466537,0.489794,0.515508,0.519709,0.048971,250
0022501168,2026-04-09,BOS,NYK,0.513937,0.484794,0.490315,0.513948,0.536021,0.539996,0.045706,250
0022501169,2026-04-09,PHI,HOU,0.706379,0.677312,0.681537,0.705593,0.732277,0.738881,0.050739,250
0022501170,2026-04-09,LAL,GSW,0.333195,0.290923,0.299303,0.332189,0.364788,0.370300,0.065485,250
0022501171,2026-04-10,DET,CHA,0.430797,0.386806,0.395839,0.429912,0.468035,0.470820,0.072197,250
0022501172,2026-04-10,MIA,WAS,0.139305,0.102238,0.108614,0.139760,0.174613,0.182115,0.065999,250
0022501173,2026-04-10,CLE,ATL,0.523301,0.492039,0.498649,0.523026,0.549282,0.554215,0.050633,250
0022501174,2026-04-10,NOP,BOS,0.879769,0.841388,0.846941,0.879289,0.904414,0.909517,0.057472,250
0022501175,2026-04-10,PHI,IND,0.237813,0.192697,0.200955,0.238915,0.276162,0.283891,0.075207,250
0022501176,2026-04-10,TOR,NYK,0.666806,0.635640,0.643524,0.667315,0.690996,0.697841,0.047472,250
0022501177,2026-04-10,ORL,CHI,0.354969,0.314637,0.323764,0.353958,0.385391,0.391073,0.061627,250
0022501178,2026-04-10,MIN,HOU,0.569306,0.543726,0.545586,0.569147,0.592161,0.595145,0.046574,250
0022501179,2026-04-10,BKN,MIL,0.705157,0.668741,0.676759,0.705897,0.733196,0.736559,0.056437,250
0022501180,2026-04-10,DAL,SAS,0.952174,0.928647,0.931286,0.951502,0.966878,0.969404,0.035593,250
0022501181,2026-04-10,MEM,UTA,0.476214,0.442713,0.450569,0.474784,0.503116,0.508301,0.052547,250
0022501182,2026-04-10,OKC,DEN,0.344386,0.302611,0.311478,0.344172,0.376932,0.382266,0.065454,250
0022501183,2026-04-10,LAC,POR,0.519333,0.491881,0.496119,0.519058,0.540952,0.546488,0.044833,250
0022501184,2026-04-10,GSW,SAC,0.233707,0.190588,0.198996,0.233938,0.271906,0.279035,0.072910,250
0022501185,2026-04-10,PHX,LAL,0.643205,0.613892,0.618664,0.642834,0.667322,0.670564,0.048657,250
0022501186,2026-04-12,ORL,BOS,0.780548,0.748090,0.751578,0.779774,0.807137,0.815085,0.055559,250
0022501187,2026-04-12,WAS,CLE,0.937093,0.908263,0.911751,0.936460,0.954240,0.957416,0.042489,250
0022501188,2026-04-12,DET,IND,0.075101,0.048213,0.053202,0.076133,0.104419,0.106714,0.051217,250
0022501189,2026-04-12,ATL,MIA,0.478184,0.450110,0.456229,0.477827,0.505836,0.508583,0.049607,250
0022501190,2026-04-12,CHA,NYK,0.569280,0.535837,0.540012,0.567928,0.598190,0.603328,0.058178,250
0022501191,2026-04-12,MIL,PHI,0.771723,0.737604,0.743087,0.770909,0.799125,0.806424,0.056038,250
0022501192,2026-04-12,BKN,TOR,0.908854,0.877704,0.880561,0.908142,0.930504,0.934528,0.049943,250
0022501193,2026-04-12,CHI,DAL,0.466947,0.435271,0.440998,0.465756,0.491336,0.495276,0.050338,250
0022501194,2026-04-12,MEM,HOU,0.865714,0.830595,0.834461,0.865292,0.891040,0.896794,0.056579,250
0022501195,2026-04-12,NOP,MIN,0.820522,0.779487,0.785655,0.820651,0.849329,0.852875,0.063674,250
0022501196,2026-04-12,PHX,OKC,0.821593,0.781927,0.788917,0.821555,0.849764,0.854413,0.060847,250
0022501197,2026-04-12,DEN,SAS,0.738064,0.704611,0.711419,0.736542,0.764976,0.771844,0.053557,250
0022501198,2026-04-12,UTA,LAL,0.905148,0.871888,0.875810,0.904530,0.927307,0.930570,0.051497,250
0022501199,2026-04-12,GSW,LAC,0.676920,0.648788,0.652923,0.675589,0.703272,0.710814,0.050349,250
0022501200,2026-04-12,SAC,POR,0.881271,0.847728,0.852223,0.880659,0.905464,0.911117,0.053241,250
