family,features,C,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,validation_minimum_probability,validation_maximum_probability,half_life,shrinkage_prior,srs_alpha,srs_half_life_days,pca_components
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.03,0.6339950525622137,0.21821992626462047,0.7111357229158275,0.6641604010025063,0.5466932279891051,0.5213032581453634,0.061663814896078264,0.9728941417056238,,,1000.0,,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.05,0.6366229611345173,0.21865011800686598,0.7117650020136932,0.6616541353383458,0.5460329731372953,0.5213032581453634,0.05662141209074905,0.9764986104245416,,,1000.0,,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.0075,0.627288149147528,0.2173374563044474,0.7106322996375353,0.6616541353383458,0.5452555927545718,0.5213032581453634,0.10910066994971071,0.9387430854804528,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.005,0.6278224522901233,0.21797334058404422,0.7104812726540475,0.656641604010025,0.5463382783741714,0.5213032581453634,0.13936020855791287,0.9178085754326742,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.01,0.6278971096745873,0.2172524509380307,0.7107078131292791,0.6616541353383458,0.5445851310429048,0.5213032581453634,0.09314357840447492,0.9494443596749989,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.015,0.6295965362446919,0.21743549464249318,0.710909182440596,0.6641604010025063,0.5437922676912227,0.5213032581453634,0.07692859316093212,0.9601442414491412,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.02,0.6311078289866258,0.21767580887109048,0.7108588401127668,0.6666666666666666,0.5433517704556543,0.5213032581453634,0.06886787327688748,0.9654686289955621,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.003,0.6316713585509458,0.22002946475637794,0.7103554168344743,0.6641604010025063,0.547747791007688,0.5213032581453634,0.19237436930061816,0.8790353061751858,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.03,0.6333574382761923,0.21806373598970033,0.7115636327023761,0.6616541353383458,0.5428579371967022,0.5213032581453634,0.061028665239519685,0.9707951299362872,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.05,0.636039103352315,0.21852584431404534,0.7118405155054369,0.6591478696741855,0.5422974158831333,0.5213032581453634,0.05550740496388048,0.9753642298174414,,,100.0,120.0,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.0075,0.6272778634199376,0.2172943541258891,0.7108840112766814,0.6616541353383458,0.5454936112617053,0.5213032581453634,0.10845597219200559,0.9401063938854001,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.005,0.6276453319709968,0.21786772228763884,0.7106574708014498,0.656641604010025,0.5465861683473339,0.5213032581453634,0.13839125257019247,0.9196966104300605,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.01,0.627973860502342,0.21724180808107374,0.7109091824405961,0.6616541353383458,0.544815555778503,0.5213032581453634,0.09273202910057417,0.9504722939735022,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.015,0.6297481195349133,0.21745360354997997,0.711110551751913,0.6641604010025063,0.544001742021062,0.5213032581453634,0.07667965568474111,0.9608474228283197,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.003,0.631256195722863,0.21982803659441866,0.710783326621023,0.6641604010025063,0.5479936191976875,0.5213032581453634,0.1908855373861648,0.8816833779916151,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.02,0.6312814310121833,0.217704420678204,0.7109595247684252,0.6641604010025063,0.5435476434627292,0.5213032581453634,0.06868224785413839,0.9660069034920009,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.03,0.6335307983966286,0.21809754290894512,0.7114881192106324,0.6616541353383458,0.5430474282838684,0.5213032581453634,0.0608786728060436,0.9711720063989739,,,100.0,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.05,0.6361659334432467,0.21855172087567767,0.7119915424889247,0.6591478696741855,0.5424499662236714,0.5213032581453634,0.05532021209057697,0.975645737438201,,,100.0,,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.0075,0.6275399877857017,0.21748560458991287,0.7109343536045106,0.6541353383458647,0.5472963215331094,0.5213032581453634,0.11059729472781851,0.9402217438522507,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.01,0.6281318246176056,0.21736789208405521,0.7109343536045106,0.6541353383458647,0.5468049285570867,0.5213032581453634,0.09354371376704994,0.9515301285738378,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.005,0.6283202348808654,0.21824694788579543,0.7107329842931939,0.656641604010025,0.5481025513113004,0.5213032581453634,0.1431296837121775,0.917764732935921,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.015,0.6299698820709102,0.21755583535614034,0.7108336689488521,0.6616541353383458,0.5462368053109982,0.5213032581453634,0.07640118332821134,0.9626188657639172,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.02,0.631594247051348,0.21780844355148743,0.7107078131292792,0.6641604010025063,0.5459056934237031,0.5213032581453634,0.06818723548177878,0.9678923915794198,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.003,0.6328045943003298,0.22058850813782993,0.71065747080145,0.6641604010025063,0.5491008869364542,0.5213032581453634,0.19973777097012418,0.876018548932856,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.03,0.6339946353478285,0.21821402444838112,0.7110602094240839,0.6641604010025063,0.5454685740000751,0.5213032581453634,0.0603715161116436,0.9730143053951539,,,300.0,120.0,
